Rank,Country,Players,Points,Number,Games,Badges,XP,Hours
146,Yemen,68,38557.58,63054,11227,2803,1163580,231132.1
147,Maldives,70,38035.93,64394,12565,10481,5292804,312093.4
148,Saint Lucia,53,37486.89,53509,7509,1853,705274,181391.1
149,Sint Eustatius and Saba,48,36435.66,59384,10724,3664,2736098,182422.9
150,Svalbard & Jan Mayen Islands,39,36020.71,55380,10468,1654,817515,221680.9
151,Tunisia,113,35520.32,59034,10250,3446,1130995,279569.1
152,Andorra,71,35275.52,63493,21051,3743,1105573,218308.6
153,Bolivia,67,35047.13,53476,13554,1869,698172,151557.7
154,Gibraltar,48,33971.09,56790,10351,1690,517397,172959.6
155,Guam,41,33952.27,54878,26981,3097,1152940,153301.0
156,Ethiopia,70,33754.4,60430,9109,1808,606373,236458.8
157,Gabon,58,33401.15,59529,12812,3488,1039599,192577.2
158,Oman,51,33143.45,53288,10351,1347,442354,162619.9
159,Falkland Islands (Malvinas),57,33002.02,55393,10092,1714,683920,200915.1
160,Cambodia,82,32794.67,54505,6514,1295,403022,194193.4
161,Niue,52,32292.03,55985,10217,1553,597241,209183.5
162,Belize,57,31017.41,51226,11879,2663,753630,166407.7
163,Aland Islands,55,30736.6,49280,10188,2035,615023,175588.7
164,Bahrain,45,30459.44,52274,13776,4026,2562233,187571.5
165,Antigua & Barbuda,50,30444.26,49954,11602,2196,681865,170617.1
166,St. Pierre & Miquelon,41,30327.32,49016,10100,1448,479447,144133.8
167,San Marino,63,30296.26,51313,13150,3975,1534280,660151.6
168,British Indian Ocean Territory,53,29913.69,50207,7673,1785,714395,298693.2
169,Aruba,50,29030.38,49685,10823,1678,543669,131637.5
170,Central African Republic,67,28943.74,52977,7341,1545,554806,191867.0
171,Bouvet Island,33,27970.18,43393,4617,2267,1116973,130532.1
172,Cote D'ivoire (Ivory Coast),59,27871.17,45144,10514,1807,815288,192972.7
173,Paraguay,62,27695.85,46713,9158,3575,1391066,159485.6
174,Bermuda,63,27648.83,46722,9917,1427,525209,164795.1
175,Botswana,72,26923.25,51664,10183,1434,410996,184048.6
176,Burkina Faso,57,26907.74,50465,13883,1496,408138,181630.4
177,Saint Martin (French part),18,26827.87,37887,8658,1225,374765,70776.6
178,Mozambique,51,26421.8,48137,8008,1910,595743,167122.6
179,Cayman Islands,44,26381.39,40527,6239,2217,1061942,131464.4
180,Tuvalu,38,26064.14,44420,8955,1394,364788,139025.8
181,Pitcairn,31,24732.77,41451,8310,1378,475233,124412.2
182,Swaziland,52,23962.66,42953,5691,1022,360193,171468.1
183,American Samoa,75,23635.13,42795,5768,1107,359824,159681.4
184,Wallis & Futuna Islands,36,23624.88,36659,5718,1100,310895,126476.6
185,Kiribati,47,23172.54,41289,8218,1910,780730,140630.4
186,"Tanzania, United Republic of",40,22817.64,39132,6614,1216,448600,115633.9
187,Cape Verde,44,22539.13,39337,6462,1070,358255,135225.8
188,Nauru,40,22007.68,38470,8275,2074,858863,197889.2
189,Togo,43,21911.54,39830,7069,4689,1196911,148395.9
190,Tajikistan,72,21610.07,42510,5595,1305,409764,161432.3
191,Kenya,44,21448.28,33875,8218,1071,317171,101710.7
192,Nicaragua,41,21186.0,31806,6934,2688,912981,118261.4
193,Micronesia,39,20775.56,37124,12548,1629,432417,146788.5
194,Turkmenistan,42,20731.5,35665,6265,1963,692823,118978.5
195,Monserrat,18,20594.74,29167,11862,1699,305450,80184.5
196,Vanuatu,29,20258.18,35572,7794,1294,350794,76746.7
197,Turks & Caicos Islands,25,20230.09,28169,6400,1924,630906,77396.0
198,Zambia,61,18496.6,35916,5822,2338,3670278,163827.4
199,Marshall Islands,35,17935.44,30796,13019,1707,609488,108165.4
200,Namibia,33,17546.47,29068,4149,666,309063,124275.9
201,Libya,45,17514.73,29814,4899,1503,406161,122599.9
202,Guernsey,27,17166.18,29152,8976,1355,420958,121213.8
203,Rwanda,22,17007.96,26744,5614,1097,263317,101020.8
204,Papua New Guinea,40,16927.91,30498,5624,1034,364915,113671.2
205,St. Kitts and Nevis,36,16736.96,33310,5688,1073,468482,111303.9
206,Dominica,38,16716.61,25615,3428,1157,386230,77338.5
